lat,lon
11.44006,8.19584
11.65583,13.42133
11.74536,13.25467
6.26753,6.37886
5.39482,6.66853
5.33157,6.70269
11.65583,13.42133
10.61285,12.19458
10.46458,12.41800
12.88333,7.06667
11.78529,7.62175
10.76485,7.52293
10.81960,12.39786
9.08333,7.53333
6.21010,7.07412
7.65000,4.91667
7.65000,4.91667
5.52627,7.48959
6.11000,7.07240
6.21010,7.07412
6.02380,7.08620
6.01986,6.91478
6.14543,6.78845
4.77742,7.01340
5.89405,5.67666
5.74394,5.99049
11.10359,13.71298
6.44556,3.35917
4.96667,8.33333
10.90484,12.08863
10.74025,13.21742
11.10359,13.71298
7.75000,4.71667
5.48333,7.03041
9.93333,8.73333
5.48333,7.03041